time,timestep,real,predicted
2019-05-01  09:45:00,0,0.032699,-0.10960664
2019-05-01  09:45:00,1,0.032699,-0.14911932
2019-05-01  09:45:00,2,0.032699,-0.14040488
2019-05-01  09:45:00,3,0.032699,-0.15976413
2019-05-01  10:00:00,0,0.032699,-0.111877665
2019-05-01  10:00:00,1,0.032699,-0.010532409
2019-05-01  10:00:00,2,0.032699,-0.038017925
2019-05-01  10:00:00,3,0.032699,-0.007776171
2019-05-01  10:15:00,0,0.032699,-0.032826245
2019-05-01  10:15:00,1,0.032699,0.11847221
2019-05-01  10:15:00,2,0.032699,0.08719587
2019-05-01  10:15:00,3,0.032699,0.1430673
2019-05-01  10:30:00,0,0.032699,0.038383704
2019-05-01  10:30:00,1,0.032699,0.14995515
2019-05-01  10:30:00,2,0.032699,0.13027836
2019-05-01  10:30:00,3,0.032699,0.17268193
2019-05-01  10:45:00,0,0.032699,-0.07045767
2019-05-01  10:45:00,1,0.032699,-0.0076206177
2019-05-01  10:45:00,2,0.032699,-0.024639498
2019-05-01  10:45:00,3,0.032699,-0.0070744306
2019-05-01  11:00:00,0,0.032699,-0.020767888
2019-05-01  11:00:00,1,0.032699,0.036552664
2019-05-01  11:00:00,2,0.032699,0.016645867
2019-05-01  11:00:00,3,0.032699,0.028283738
2019-05-01  11:15:00,0,0.032699,-0.034416504
2019-05-01  11:15:00,1,0.032699,-0.0477511
2019-05-01  11:15:00,2,0.032699,-0.04706801
2019-05-01  11:15:00,3,0.032699,-0.056223042
2019-05-01  11:30:00,0,0.032699,0.030085906
2019-05-01  11:30:00,1,0.032699,0.08606149
2019-05-01  11:30:00,2,0.032699,0.07174347
2019-05-01  11:30:00,3,0.032699,0.08856366
2019-05-01  11:45:00,0,0.032699,-0.051155128
2019-05-01  11:45:00,1,0.032699,-0.023441404
2019-05-01  11:45:00,2,0.032699,-0.030893344
2019-05-01  11:45:00,3,0.032699,-0.026795954
2019-05-01  12:00:00,0,0.032699,0.00039263256
2019-05-01  12:00:00,1,0.032699,0.032045323
2019-05-01  12:00:00,2,0.032699,0.018969754
2019-05-01  12:00:00,3,0.032699,0.021286663
2019-05-01  12:15:00,0,0.032699,-0.05606904
2019-05-01  12:15:00,1,0.032699,-0.08696314
2019-05-01  12:15:00,2,0.032699,-0.08526564
2019-05-01  12:15:00,3,0.032699,-0.10985486
2019-05-01  12:30:00,0,0.032699,-0.039242186
2019-05-01  12:30:00,1,0.032699,-0.09286516
