timestep,real,predicted
1,1.431754,1.2652729
2,1.431754,1.1904947
3,1.431754,1.2862619
0,0.000244,0.013073881
1,0.000133,-0.003706038
2,0.000133,0.0048152506
3,0.000133,0.00038533658
0,0.072512,0.016842807
1,0.072,0.041686837
2,0.071189,0.034532253
3,0.07,0.042479523
0,0.381667,0.33363938
1,0.378768,0.39443302
2,0.376789,0.3765734
3,0.375056,0.3949275
0,1.31998,1.3405616
1,1.333299,1.2127482
2,1.32191,1.2662052
3,1.334155,1.2115943
0,1.155333,1.126501
1,1.241755,1.1166785
2,1.191342,1.1292179
3,1.122162,1.1254104
0,0.468,0.48594683
1,0.465033,0.49158373
2,0.463361,0.4888161
3,0.449551,0.48333216
0,0.989442,1.0438241
1,0.978994,0.99541456
2,0.963367,1.0069969
3,0.945923,0.97744286
0,0.097478,0.07477631
1,0.099617,0.042873386
2,0.101,0.07506099
3,0.103,0.0743123
0,0.643417,0.67343676
1,0.633344,0.66346985
2,0.622092,0.6632097
3,0.612925,0.64867055
0,0.067211,0.07305433
1,0.069078,-0.021544307
2,0.070278,0.014581032
3,0.072278,-0.017893843
0,0.322378,0.14543039
1,0.347867,0.2596275
2,0.370083,0.22803266
3,0.386672,0.2646391
0,0.856422,0.7719441
1,0.848511,0.8138161
2,0.841046,0.7992903
3,0.832744,0.8039564
0,1.10318,1.1466218
1,1.076969,1.1761918
2,1.078693,1.1822366
3,1.106919,1.1832373
0,0.764267,0.8413401
1,0.762883,0.8022719
2,0.758844,0.81154126
3,0.751522,0.7917402
0,0.572511,0.5910151
1,0.569967,0.6332102
2,0.577848,0.62134916
3,0.585667,0.62772006
0,0.455344,0.5189139
1,0.493959,0.46067625
2,0.521628,0.49863616
3,0.538883,0.47202605
0,0.234256,0.231764
1,0.232411,0.16543186
2,0.234678,0.17833298
3,0.236678,0.14507023
0,0.3618,0.36245757
1,0.359133,0.41967046
2,0.355167,0.4008036
3,0.353289,0.41756034
0,0.309639,0.32622874
1,0.306389,0.33057863
2,0.304133,0.3254253
3,0.301956,0.322204
0,1.798125,1.8736204
1,1.782806,1.6758597
2,1.745298,1.734382
3,1.75534,1.6516185
0,0.088533,0.051470757
1,0.088533,0.09578345
2,0.088533,0.08808114
3,0.088533,0.097591005
0,0.018,-0.03155031
1,0.018,-0.004915446
2,0.017,-0.01185666
3,0.016585,-0.0070380643
0,0.874777,0.82351613
1,0.883333,0.90187794
2,0.888698,0.8761614
3,0.867956,0.89801854
0,0.62395,0.67261964
1,0.615711,0.6810745
2,0.609351,0.67445964
3,0.603844,0.66510195
0,0.851,0.92680925
1,0.847344,0.8886039
2,0.839,0.8972808
3,0.836367,0.8748201
0,0.224839,0.37488583
1,0.222567,0.24419439
2,0.220056,0.27746654
3,0.217378,0.22547334
0,0.048379,0.107325874
1,0.048,0.13927463
2,0.048,0.13096297
3,0.047589,0.13087368
0,0.21,0.16484824
1,0.208245,0.13892752
2,0.208811,0.14661911
3,0.21,0.12618712
0,1.82702,1.8166989
1,1.802804,1.8231623
2,1.781144,1.8198913
3,1.759822,1.8146738
0,0.9894,1.0180995
1,0.973683,1.029
2,0.957611,1.0238657
3,0.939706,1.020678
0,0.896083,0.8404296
1,0.883556,0.8350932
2,0.860215,0.8338973
3,0.841287,0.82612926
0,0.383579,0.470319
1,0.3828,0.4322352
2,0.378235,0.43821755
