timestep,real,predicted
0,0.548044,0.54907244
0,0.032256,0.045444988
0,0.396911,0.3880732
0,0.8643,0.80004346
0,0.909206,0.9026704
0,1.554659,1.4736326
0,0.113533,0.019545991
0,0.620633,0.6269365
0,1.056333,1.0168664
0,1.28082,1.3177754
0,0.007133,0.044960506
0,1.47275,1.4407424
0,0.159056,0.16128097
0,0.949911,0.9943118
0,0.149367,0.09070109
0,0.14,0.1698865
0,0.844361,0.8232787
0,0.026955,0.058825575
0,0.615928,0.6072445
0,0.148417,0.10994433
0,0.42,0.39253148
0,0.342694,0.2931923
0,0.804711,0.7893838
0,0.722378,0.66147846
0,0.192183,0.14881149
0,0.829232,0.85149556
0,1.431754,1.4198662
0,0.000244,-0.016497202
0,0.072512,0.03980488
0,0.381667,0.3799149
0,1.31998,1.2450683
0,1.155333,1.1405195
0,0.468,0.4082939
0,0.989442,0.96802914
0,0.097478,0.09033837
0,0.643417,0.6117808
0,0.067211,0.061038956
0,0.322378,0.21588203
0,0.856422,0.76961
0,1.10318,1.0883685
0,0.764267,0.7886226
0,0.572511,0.5833765
0,0.455344,0.38098633
0,0.234256,0.17152192
0,0.3618,0.36487722
0,0.309639,0.29146487
0,1.798125,1.7321312
0,0.088533,0.005945854
0,0.018,-0.01609829
0,0.874777,0.8276255
0,0.62395,0.53815883
0,0.851,0.89959866
0,0.224839,0.23953825
0,0.048379,0.06541554
0,0.21,0.14888859
0,1.82702,1.8546697
0,0.9894,1.0152783
0,0.896083,0.865574
0,0.383579,0.33525035
0,0.271,0.24866837
0,1.783783,1.7357768
0,0.144733,0.15361014
0,0.256222,0.24393088
0,0.349622,0.3003197
0,0.048,0.018694866
0,0.58321,0.5017741
0,0.864978,0.8283993
0,0.011278,-0.0021267012
0,0.46485,0.45507133
0,0.300539,0.26298413
0,0.689339,0.7250326
0,0.000163,-0.073633544
0,1.006026,1.0112029
0,0.350011,0.31558675
0,1.35921,1.2497154
0,0.283925,0.27573812
0,0.971067,0.92658836
0,1.545704,1.5806589
0,1.322466,1.2511702
0,0.004,-0.0091730505
0,1.594838,1.5583186
0,0.881533,0.85952944
0,0.039383,0.060580917
0,1.548333,1.4858475
0,2.864845,2.9043293
0,0.032733,0.04186242
0,1.311517,1.3250424
0,0.155239,0.051235534
0,0.337378,0.25884745
0,1.267045,1.329659
0,1.690383,1.6305305
0,1.237841,1.2817575
0,0.658428,0.6538045
0,1.804778,1.8039697
0,0.571244,0.51145804
0,0.493617,0.48137084
0,0.620411,0.56569797
0,0.385389,0.33088017
0,1.668359,1.6771917
0,0.715372,0.6575182
0,1.643863,1.6022654
0,0.701022,0.63916135
0,0.027733,-0.026101194
0,0.443856,0.40290383
0,0.727901,0.70033336
0,0.818789,0.8118025
0,0.013,0.056887995
0,0.1126,0.08932851
0,1.44703,1.377921
0,0.679167,0.676092
0,0.538733,0.49578077
0,0.470002,0.48003006
0,0.992744,0.94533306
0,0.255589,0.2700429
0,0.979433,0.9427443
0,0.769556,0.7102918
0,0.0308,0.013476677
0,2.546071,2.594753
0,0.098617,0.06350926
0,0.171551,0.19401142
0,1.303359,1.3301238
0,0.0854,-0.0140155405
0,0.213056,0.18602437
0,0.152667,0.122892365
0,0.95672,0.9635606
0,0.087,0.04782591
0,1.790326,1.6736494
0,0.535244,0.49604562
0,0.108244,0.07094102
0,1.030733,1.0031599
